id,source,matching,destination,type,category,status,ignore
,https://www.springcard.com/fr/team,exact,/a-propos/,301,Pages,active,
,https://www.springcard.com/fr/test-landing-page,exact,/,301,Pages,active,
,https://www.springcard.com/fr/thanks,exact,/,301,Pages,active,
,https://www.springcard.com/fr/us-shop,exact,/,301,Pages,active,
,https://www.springcard.com/fr/values,exact,/a-propos/,301,Pages,active,
,https://www.springcard.com/fr/webinar-springseed-m519,exact,/produits/m519/,301,Pages,active,
,https://www.springcard.com/fr/blog/news,exact,/blog/,301,PostCategories,active,
,https://www.springcard.com/fr/blog/news/%3Alang/learning/Importance-scalability-contatcless-project,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/ITN-International-and-SpringCard-SAS.,exact,/cas-usage/itn-international-identification-sans-contact-evenementiel/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/NFC-IOS-Cinemas-Pathe-Gaumont,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/a-fictional-story-to-help-you-imagine-your-contactless-project,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/a-new-packaging-for-our-prox-n-roll,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/access-museums-and-amusement-parks-easily-with-vivaticket,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/all-about-the-anti-collision-mechanisms,exact,/blog/comprendre-l-anti-collision-en-rfid-nfc/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/an-end-to-end-secure-access-control-system,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/associating-ble-and-nfc-socket-mobile-use-case,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/can-your-company-become-a-member-of-the-bluetooth-sig,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/choose-your-contactless-provider,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/contactless-focus-5-symmetric-or-asymmetric-antenna-configuration-which-one-to-choose,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/contactless-reader-interoperability-scalability-criteria,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/core-nfc-what-you-need-to-know-about-it,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/create-your-avatar-with-silkke,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/decouvrez-la-carte-de-configuration-mastercard-flexibilite-et-securite-integrees,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/end-of-life-for-k663-h663-introducing-springseed-m519-module,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/enter-any-event-easily-with-weezevent-and-springcard,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/events-needs-contactless-technologies,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/everything-there-is-to-know-about-nfc-rfid-and-bluetooth,exact,/blog/tout-savoir-sur-le-nfc-la-rfid-et-le-bluetooth/,301,Posts,active,
