ancienne_url,nouvelle_url,type,raison
https://www.springcard.com/fr/springcard-quickstart-for-pc-sc,https://tech.springcard.com/,Pages,correspondance directe
https://www.springcard.com/fr/springcard-sponsor-for-vendee-globe-2024,/blog/,Pages,correspondance directe
https://www.springcard.com/fr/springfield-florida,/,Pages,aucun équivalent -> accueil (à revoir au cas par cas)
https://www.springcard.com/fr/springpark,/,Pages,aucun équivalent -> accueil (à revoir au cas par cas)
https://www.springcard.com/fr/springseed-m519-sdk-registration,/produits/m519/,Pages,correspondance directe
https://www.springcard.com/fr/story,/a-propos/,Pages,correspondance directe
https://www.springcard.com/fr/team,/a-propos/,Pages,correspondance directe
https://www.springcard.com/fr/test-landing-page,/,Pages,aucun équivalent -> accueil (à revoir au cas par cas)
https://www.springcard.com/fr/thanks,/,Pages,aucun équivalent -> accueil (à revoir au cas par cas)
https://www.springcard.com/fr/us-shop,/,Pages,aucun équivalent -> accueil (à revoir au cas par cas)
https://www.springcard.com/fr/values,/a-propos/,Pages,correspondance directe
https://www.springcard.com/fr/webinar-springseed-m519,/produits/m519/,Pages,correspondance directe
https://www.springcard.com/fr/blog/news,/blog/,PostCategories,archive blog
https://www.springcard.com/fr/blog/news/%3Alang/learning/Importance-scalability-contatcless-project,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/ITN-International-and-SpringCard-SAS.,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/NFC-IOS-Cinemas-Pathe-Gaumont,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/a-fictional-story-to-help-you-imagine-your-contactless-project,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/a-new-packaging-for-our-prox-n-roll,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/access-museums-and-amusement-parks-easily-with-vivaticket,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/all-about-the-anti-collision-mechanisms,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/an-end-to-end-secure-access-control-system,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/associating-ble-and-nfc-socket-mobile-use-case,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/can-your-company-become-a-member-of-the-bluetooth-sig,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/choose-your-contactless-provider,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/contactless-focus-5-symmetric-or-asymmetric-antenna-configuration-which-one-to-choose,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/contactless-reader-interoperability-scalability-criteria,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/core-nfc-what-you-need-to-know-about-it,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/create-your-avatar-with-silkke,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/decouvrez-la-carte-de-configuration-mastercard-flexibilite-et-securite-integrees,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/end-of-life-for-k663-h663-introducing-springseed-m519-module,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/enter-any-event-easily-with-weezevent-and-springcard,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/events-needs-contactless-technologies,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/everything-there-is-to-know-about-nfc-rfid-and-bluetooth,/blog/tout-savoir-sur-le-nfc-la-rfid-et-le-bluetooth/,Posts,article technique recréé et traduit sur le nouveau site
https://www.springcard.com/fr/blog/news/everything-there-is-to-know-about-pc-sc,/blog/tout-savoir-sur-le-pc-sc/,Posts,article technique recréé et traduit sur le nouveau site
https://www.springcard.com/fr/blog/news/everything-there-is-to-know-about-the-ce-norm,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/everything-there-is-to-know-about-the-nxp-cards,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/everything-there-is-to-know-about-the-uhf-the-crazy-uhf,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/everything-you-need-to-know-about-bluetooth-smart-or-bluetooth-low-energy,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/evolis-has-been-awarded,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/exercise-with-our-funkygate,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/from-passion-for-technology-to-wakdev,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/funkygates-ip-nfc-up-running-with-the-cloud,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/how-did-we-help-xenon-54-nv-with-the-share-work-solution,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/how-springcard-was-able-to-support-afcare-and-doctolib-in-a-mobility-solution-for-healthcare-professionals,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/how-to-design-your-antenna,/blog/comment-concevoir-son-antenne-rfid-nfc/,Posts,article technique recréé et traduit sur le nouveau site
https://www.springcard.com/fr/blog/news/how-to-set-up-your-d600,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/how-to-upgrade-your-device-s-firmware-with-firmware-upgrade-utility,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/how-we-facilitate-the-life-of-students-with-the-cnous,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/ios-et-nfc-latest-news-from-a-nfc-api,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/lora-overview-of-this-technology-its-protocol-lorawan,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/mtbf-what-is-it,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/ndef-four-letters-defining-the-data-exchange-format-in-nfc,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/nfc-rfid-the-complete-guide,/blog/nfc-rfid-le-guide-complet/,Posts,article technique recréé et traduit sur le nouveau site
https://www.springcard.com/fr/blog/news/optimizing-the-reading-of-your-tags-easily,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/our-partner-s-projects-are-our-projects-k2corp-s-example,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/our-partnership-with-evolis,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/peer-to-peer-vs-host-card-emulation-what-are-the-differences,/blog/nfc-p2p-vs-hce-quelles-differences/,Posts,article technique recréé et traduit sur le nouveau site
https://www.springcard.com/fr/blog/news/prox-n-roll-rfid-scanner-vs-prox-n-roll-pc-sc-which-one-will-you-choose,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/retail-and-contactless-technologies-nfc-rfid-ble-etc,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/rfid-best-points-of-the-technology,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/rfid-simplifies-self-service-car-access,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/scardsniffer,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/selecting-your-NFC-RFID-reader-elements-of-method,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/socket-mobile-and-springcard-sas-announce-licensing-agreement,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/springcard-develops-green-packaging,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/springcard-firmwares,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/springcard-guides-you-in-the-world-of-contactless-solutions,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/springcard-is-now-a-member-of-nfc-forum,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/springcard-s-customers-service,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/springfield-colorado,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/springpass-a-simplified-seamless-customer-experience,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/success-stories-of-our-clients-thinfilm,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/the-american-part-of-springcard-s-story,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/the-anti-tearing-concept-and-mechanisms,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/the-d600-solution-everything-you-need-to-know-about-it,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/the-prox-n-roll-rfid-scanner-a-swiss-army-knife-reader,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/the-springcard-s-website-is-new,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/thinfilm-talks-about-us,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/tip-2-using-springcard-usb-coupling-devices-under-android,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/tip1-memorycard-tool,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/twistyscan-the-best-of-rfid-and-2d-readers,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
https://www.springcard.com/fr/blog/news/un-emballage-qui-cartonne,/blog/,Posts,article pas encore recréé sur le nouveau site -> archive blog
